;mosnews_39703;mosnews_39704;mosnews_39706;mosnews_39708;mosnews_39709;mosnews_39710;mosnews_39711;mosnews_39713;mosnews_39714;mosnews_39715;mosnews_39718;mosnews_39719;mosnews_39720;mosnews_39695;mosnews_39696;mosnews_39697;mosnews_39698;mosnews_39699;mosnews_39700;mosnews_39701;ria_novosti_russiya_79742;ria_novosti_russiya_79743;ria_novosti_russiya_79744;ria_novosti_russiya_79745;ria_novosti_russiya_79746;ria_novosti_russiya_79747;ria_novosti_russiya_79748;ria_novosti_russiya_79750;ria_novosti_russiya_79751;ria_novosti_russiya_79752;ria_novosti_russiya_79753;ria_novosti_russiya_79754;ria_novosti_russiya_79755;ria_novosti_russiya_79756;ria_novosti_russiya_79757;ria_novosti_russiya_79758;ria_novosti_russiya_79759;ria_novosti_russiya_79760;ria_novosti_russiya_79761;ria_novosti_russiya_79721;ria_novosti_russiya_79723;ria_novosti_russiya_79725;ria_novosti_russiya_79726;ria_novosti_russiya_79727;ria_novosti_russiya_79728;ria_novosti_russiya_79729;ria_novosti_russiya_79731;ria_novosti_russiya_79733;ria_novosti_russiya_79719;ria_novosti_russiya_79720;readovkanews_113637;readovkanews_113638;readovkanews_113639;readovkanews_113640;readovkanews_113641;readovkanews_113642;readovkanews_113643;readovkanews_113644;readovkanews_113645;readovkanews_113646;readovkanews_113647;readovkanews_113648;readovkanews_113649;readovkanews_113651;readovkanews_113652;readovkanews_113654;readovkanews_113656;readovkanews_113657;readovkanews_113658;readovkanews_113659;readovkanews_113629;readovkanews_113630;readovkanews_113631;readovkanews_113632;readovkanews_113633;readovkanews_113634;readovkanews_113635;readovkanews_113636
mosnews_39703;1.0;0.08;0.274;0.098;0.33;0.339;0.251;0.227;0.212;0.07;0.167;0.223;0.286;0.298;0.11;0.107;0.004;0.203;0.12;0.214;0.113;0.365;0.164;0.491;0.187;0.138;0.081;-0.142;0.334;0.324;0.373;0.324;0.258;0.247;0.301;0.354;0.132;0.487;0.171;0.262;0.391;0.177;0.265;0.158;0.252;0.338;0.455;0.304;0.16;0.31;0.294;0.148;0.022;0.105;0.208;0.097;0.371;0.198;0.496;-0.019;0.176;0.165;0.08;0.125;0.377;0.267;0.071;0.33;0.277;0.276;0.153;0.274;0.084;0.115;0.036;0.178;0.064;0.162
mosnews_39704;0.08;1.0;0.25;0.285;0.311;0.061;0.305;0.172;0.145;0.087;0.106;0.012;0.073;0.199;0.19;0.058;0.125;0.149;-0.107;0.229;0.177;0.215;0.157;0.205;0.22;0.859;0.434;0.005;0.299;0.13;0.302;0.101;0.329;0.048;0.249;0.23;0.173;0.029;0.029;0.439;0.136;0.025;0.361;0.231;0.317;0.199;0.226;0.279;0.453;0.201;0.242;0.013;0.355;0.073;0.284;0.873;0.255;0.314;0.068;0.127;0.173;0.171;0.415;0.255;0.216;0.212;0.402;0.35;0.307;0.267;0.071;0.299;0.105;0.041;0.136;0.373;0.433;0.331
mosnews_39706;0.274;0.25;1.0;0.312;0.449;0.321;0.421;0.278;0.276;0.201;0.286;0.162;0.185;0.322;0.213;0.044;0.187;0.253;0.042;0.278;0.168;0.287;0.119;0.349;0.179;0.325;0.313;0.105;0.259;0.143;0.218;0.132;0.383;0.112;0.178;0.302;0.212;0.256;0.122;0.232;0.294;0.239;0.338;0.195;0.313;0.516;0.443;0.267;0.256;0.308;0.292;0.172;0.195;0.233;0.26;0.312;0.395;0.349;0.065;0.005;0.31;0.169;0.263;0.133;0.333;0.268;0.246;0.31;0.225;0.335;0.194;0.2;0.264;0.091;-0.002;0.287;0.097;0.314
mosnews_39708;0.098;0.285;0.312;1.0;0.365;0.264;0.487;0.416;0.422;0.226;0.183;0.059;0.397;0.407;0.597;0.173;0.044;0.266;0.025;0.384;0.109;0.3;0.109;0.095;0.285;0.314;0.312;0.239;0.458;0.174;0.396;0.229;0.481;0.071;0.193;0.377;0.482;0.084;0.096;0.276;0.031;0.154;0.416;0.317;0.423;0.348;0.239;0.413;0.45;0.39;0.226;0.101;-0.035;0.151;0.368;0.298;0.22;0.395;0.092;0.259;0.362;0.482;0.342;0.141;0.203;0.346;0.343;0.417;0.225;0.353;0.031;0.419;0.07;0.274;0.054;0.484;0.291;0.432
mosnews_39709;0.33;0.311;0.449;0.365;1.0;0.244;0.401;0.339;0.308;0.33;0.34;0.268;0.413;0.676;0.327;0.163;0.086;0.494;0.216;0.503;0.007;0.519;0.309;0.375;0.386;0.335;0.393;0.058;0.467;0.21;0.526;0.229;0.294;0.176;0.461;0.528;0.257;0.382;0.17;0.393;0.231;0.264;0.443;0.344;0.342;0.457;0.505;0.467;0.39;0.452;0.464;0.103;0.2;-0.034;0.309;0.291;0.511;0.305;0.121;0.019;0.279;0.202;0.35;0.221;0.362;0.402;0.34;0.531;0.376;0.52;0.117;0.328;0.034;0.179;0.038;0.406;0.176;0.361
mosnews_39710;0.339;0.061;0.321;0.264;0.244;1.0;0.153;0.17;0.143;0.073;0.125;0.16;0.081;0.371;0.129;-0.037;-0.181;0.191;0.092;0.342;-0.018;0.202;-0.06;0.396;0.085;0.105;-0.004;-0.015;0.235;0.191;0.252;0.092;0.192;0.077;0.082;0.288;0.192;0.364;0.1;0.083;0.119;0.158;0.253;0.143;0.119;0.385;0.413;0.238;0.128;0.325;0.178;0.205;-0.154;0.095;0.201;0.13;0.287;0.172;0.33;-0.014;0.156;0.219;0.098;-0.047;0.38;0.105;0.077;0.241;0.159;0.344;0.002;0.183;0.013;0.091;-0.091;0.188;-0.028;0.179
mosnews_39711;0.251;0.305;0.421;0.487;0.401;0.153;1.0;0.346;0.576;0.211;0.117;0.098;0.388;0.225;0.404;0.361;0.11;0.154;0.055;0.305;0.023;0.388;0.115;0.275;0.355;0.303;0.414;0.113;0.455;0.353;0.327;0.311;0.432;0.052;0.248;0.407;0.375;0.121;0.022;0.389;0.089;0.103;0.418;0.214;0.371;0.471;0.327;0.434;0.498;0.306;0.272;0.13;0.0;-0.022;0.299;0.291;0.315;0.236;0.088;0.126;0.412;0.266;0.339;0.35;0.31;0.302;0.358;0.357;0.48;0.353;0.003;0.31;0.132;0.081;0.087;0.47;0.362;0.499
mosnews_39713;0.227;0.172;0.278;0.416;0.339;0.17;0.346;1.0;0.343;0.182;0.304;0.044;0.316;0.221;0.178;0.187;0.077;0.224;0.175;0.286;0.124;0.256;0.323;0.145;0.22;0.272;0.278;0.125;0.365;0.273;0.382;0.221;0.333;0.115;0.278;0.439;0.293;0.223;0.175;0.267;0.121;0.285;0.289;0.334;0.268;0.245;0.274;0.289;0.304;0.308;0.227;0.107;0.009;0.187;0.329;0.2;0.24;0.226;0.257;0.241;0.32;0.466;0.262;0.106;0.171;0.159;0.228;0.324;0.345;0.271;0.056;0.272;0.031;0.129;0.07;0.215;0.297;0.223
mosnews_39714;0.212;0.145;0.276;0.422;0.308;0.143;0.576;0.343;1.0;0.297;0.309;0.187;0.371;0.119;0.361;0.488;0.108;0.106;0.252;0.291;0.021;0.367;0.028;0.09;0.21;0.233;0.344;0.184;0.268;0.179;0.23;0.159;0.328;0.183;0.2;0.332;0.224;0.164;0.19;0.343;0.185;0.282;0.323;0.307;0.255;0.301;0.195;0.192;0.353;0.3;0.305;0.039;0.038;0.051;0.338;0.123;0.274;0.163;0.048;0.232;0.313;0.213;0.289;0.147;0.055;0.292;0.277;0.245;0.368;0.251;-0.071;0.232;0.046;-0.054;0.077;0.243;0.34;0.306
mosnews_39715;0.07;0.087;0.201;0.226;0.33;0.073;0.211;0.182;0.297;1.0;0.27;0.164;0.304;0.193;-0.015;0.142;0.09;0.245;0.363;0.221;0.204;0.206;0.113;0.069;0.14;0.126;0.147;0.249;0.175;0.029;0.175;0.089;0.002;0.092;0.234;0.189;0.074;0.184;0.304;-0.001;0.147;0.265;0.107;0.361;0.145;0.116;0.039;0.088;0.025;0.056;0.05;0.134;0.058;0.102;0.036;0.13;0.133;0.108;-0.008;0.102;0.013;0.234;0.058;0.025;-0.003;0.176;0.052;0.074;0.073;0.118;0.022;0.066;-0.013;0.127;0.028;0.058;0.033;-0.002
